order_id,date,city,book_title,genre,unit_price,quantity,discount_pct,total,channel,manager,rating
5275,2024-06-25,Kharkiv,Sapiens,Science,410,2,0,820,Phone,Iryna,5
5386,2024-08-09,Odesa,Pride and Prejudice,Romance,240,2,0,480,Phone,Iryna,5
5100,2024-02-21,Kharkiv,Pride and Prejudice,Romance,240,1,15,204,Website,Iryna,5
5352,2024-08-18,Dnipro,Sapiens,Science,410,1,0,410,Mobile App,Victor,3
5032,2024-01-27,Kyiv,Sherlock Holmes,Detective,250,1,20,200,Website,Oleg,3
5137,2024-03-06,Kharkiv,The Little Prince,Children's,160,2,0,320,Phone,Oleg,3
5022,2024-01-24,Kyiv,The Forest Song,Poetry,150,2,0,300,Phone,Oleg,4
5139,2024-03-22,Kyiv,The Forest Song,Poetry,150,3,10,405,Mobile App,Natalia,4
5104,2024-03-13,Kharkiv,Quantum Physics,Science,450,2,5,855,Mobile App,Sofia,4
5184,2024-04-24,Lviv,Kobzar,Poetry,180,1,0,180,Mobile App,Sofia,4
5208,2024-05-13,Lviv,The Forest Song,Poetry,150,3,0,450,Phone,Sofia,4
5114,2024-03-21,Odesa,Quantum Physics,Science,450,3,0,1350,Website,Sofia,4
5215,2024-05-01,Kharkiv,The Power of Habit,Business,260,2,0,520,Phone,Natalia,4
5320,2024-07-21,Kharkiv,Sapiens,Science,410,1,0,410,Mobile App,Iryna,3
5295,2024-06-12,Kyiv,War and Peace,History,380,2,0,760,Phone,Iryna,5
5325,2024-07-15,Odesa,Pride and Prejudice,Romance,240,1,0,240,Mobile App,Natalia,4
5102,2024-03-03,Kyiv,Sherlock Holmes,Detective,250,3,0,750,Website,Oleg,5
5342,2024-07-22,Dnipro,Shadows of Forgotten Ancestors,History,220,1,15,187,Phone,Iryna,5
5269,2024-06-20,Odesa,The Forest Song,Poetry,150,2,0,300,Phone,Natalia,5
5395,2024-08-12,Kharkiv,Sapiens,Science,410,2,0,820,Mobile App,Sofia,4
5165,2024-04-14,Kharkiv,Dune,Fantasy,320,5,10,1440,Phone,Victor,5
5194,2024-04-21,Odesa,1984,Fantasy,280,1,0,280,Phone,Iryna,4
5025,2024-01-08,Odesa,Shadows of Forgotten Ancestors,History,220,4,0,880,Website,Sofia,4
5024,2024-01-07,Kharkiv,The Forest Song,Poetry,150,2,0,300,Phone,Natalia,5
5253,2024-06-27,Kyiv,Atomic Habits,Business,290,3,0,870,Website,Sofia,5
5193,2024-04-19,Dnipro,Quantum Physics,Science,450,2,0,900,Mobile App,Natalia,5
5175,2024-04-26,Dnipro,Sherlock Holmes,Detective,250,3,0,750,Phone,Sofia,4
5307,2024-07-13,Dnipro,Shadows of Forgotten Ancestors,History,220,3,10,594,Website,Natalia,3
5077,2024-02-20,Kharkiv,The Power of Habit,Business,260,2,0,520,Phone,Sofia,4
5351,2024-08-06,Dnipro,Quantum Physics,Science,450,1,0,450,Phone,Sofia,4
5282,2024-06-18,Dnipro,War and Peace,History,380,2,0,760,Phone,Natalia,4
5297,2024-06-20,Lviv,Pet Sematary,Detective,270,4,0,1080,Mobile App,Oleg,4
5303,2024-07-18,Odesa,Pride and Prejudice,Romance,240,1,0,240,Phone,Iryna,4
5288,2024-06-10,Kyiv,1984,Fantasy,280,4,15,952,Mobile App,Sofia,5
5158,2024-04-02,Lviv,Pet Sematary,Detective,270,2,20,432,Website,Sofia,5
5055,2024-02-09,Odesa,Atomic Habits,Business,290,4,0,1160,Website,Iryna,4
5016,2024-01-15,Dnipro,The Little Prince,Children's,160,1,0,160,Website,Iryna,4
5382,2024-08-02,Kyiv,1984,Fantasy,280,1,0,280,Mobile App,Oleg,5
5291,2024-06-06,Odesa,War and Peace,History,380,2,0,760,Mobile App,Sofia,3
5101,2024-03-11,Kyiv,The Little Prince,Children's,160,1,0,160,Mobile App,Victor,4
5252,2024-06-05,Dnipro,Pet Sematary,Detective,270,1,15,229.5,Phone,Sofia,4
5141,2024-03-19,Odesa,The Power of Habit,Business,260,2,0,520,Phone,Natalia,4
5130,2024-03-04,Kharkiv,Pride and Prejudice,Romance,240,5,0,1200,Website,Sofia,5
5346,2024-07-03,Dnipro,Dune,Fantasy,320,1,0,320,Phone,Victor,4
