customer_id,gender,age,country,channel,device,spend,session_min,sat_before,sat_after,purchased
1001,m,23,Germany,Advertising,Desktop,997.11,22.2,6,7,Yes
1002,m,38,Ukraine,Organic,Desktop,510.09,19.8,5,8,No
1003,m,20,Ukraine,Social Media,Desktop,789.71,21,7,8,No
1004,m,40,Germany,Social Media,Desktop,1041.02,17.4,8,9,No
1005,m,18,Ukraine,Advertising,Desktop,944.34,23.5,6,7,No
1006,m,22,Germany,Social Media,Desktop,490.13,9.5,8,8,Yes
1007,f,30,Poland,Organic,Mobile,591.39,19.2,6,8,No
1008,m,43,Germany,Advertising,Mobile,794.1,22.5,6,9,No
1009,m,19,Ukraine,Organic,Mobile,365.26,5.6,7,7,No
1010,m,34,Ukraine,Social Media,Desktop,519.49,11.4,9,10,Yes
1011,f,27,Poland,Organic,Mobile,858.26,18,7,7,No
1012,m,25,Poland,Advertising,Mobile,1282.62,31.3,6,6,No
1013,m,20,Ukraine,Social Media,Mobile,884.5,17.9,6,7,No
1014,m,28,Ukraine,Organic,Mobile,775.42,28.2,5,6,Yes
1015,m,47,Ukraine,Social Media,Mobile,86.19,1,8,10,Yes
1016,f,28,Poland,Organic,Desktop,580.65,20.2,5,4,No
1017,f,67,Ukraine,Advertising,Mobile,480.28,1,7,8,No
1018,f,30,Germany,Social Media,Mobile,313.58,1,4,5,No
1019,m,56,Ukraine,Advertising,Desktop,1445.69,33.7,5,5,Yes
1020,f,38,Ukraine,Social Media,Desktop,906.9,24.4,5,5,Yes
1021,f,27,Ukraine,Advertising,Mobile,865.72,11.3,6,6,Yes
1022,f,18,Ukraine,Social Media,Mobile,968.58,27.6,6,6,Yes
1023,m,18,Ukraine,Social Media,Mobile,818.61,28.7,7,9,No
1024,m,34,Germany,Advertising,Mobile,1072.31,26,8,8,No
1025,m,52,Germany,Social Media,Mobile,1124.11,31.5,6,7,Yes
1026,m,31,Ukraine,Social Media,Mobile,1366.43,30.1,6,6,Yes
1027,m,26,Ukraine,Organic,Mobile,479.53,7.1,6,6,Yes
1028,f,50,Ukraine,Organic,Mobile,407.69,15.4,6,6,Yes
1029,m,23,Ukraine,Advertising,Mobile,718.81,20.3,8,8,No
1030,m,33,Ukraine,Social Media,Mobile,364,6.6,6,6,No
1031,f,54,Ukraine,Organic,Mobile,504.12,13.8,5,4,Yes
1032,m,36,Ukraine,Social Media,Desktop,640.93,9.7,4,5,No
1033,f,35,Poland,Organic,Mobile,885.47,5.5,5,4,No
1034,f,32,Ukraine,Advertising,Desktop,1040.06,27.2,6,6,No
1035,f,51,Germany,Social Media,Desktop,1231.58,26.2,5,7,No
1036,f,38,Germany,Organic,Desktop,1022.29,18.8,9,9,No
1037,m,22,Ukraine,Organic,Desktop,969.49,26.2,5,6,No
1038,f,25,Ukraine,Social Media,Mobile,1178.25,38.1,8,9,No
1039,m,35,Poland,Advertising,Desktop,1250.08,42.8,7,8,Yes
1040,m,18,Ukraine,Organic,Mobile,1246.71,20.1,8,10,No
1041,m,41,Ukraine,Advertising,Desktop,1289.76,26.9,8,9,No
1042,f,48,Poland,Social Media,Desktop,930.83,30.6,9,10,No
1043,f,30,Poland,Advertising,Mobile,775.73,23.7,5,8,No
1044,f,25,Ukraine,Social Media,Mobile,919.16,20.2,7,5,No
1045,m,33,Ukraine,Organic,Mobile,1447.34,27.6,6,7,No
1046,m,52,Ukraine,Organic,Mobile,1074.55,20.5,6,3,No
1047,m,22,Ukraine,Advertising,Mobile,879.74,22.3,7,9,Yes
1048,f,44,Poland,Social Media,Desktop,541.12,5.2,7,7,No
1049,f,42,Ukraine,Organic,Mobile,975.56,21.1,10,10,Yes
1050,f,48,Poland,Advertising,Mobile,513.79,9.9,6,6,No
1051,f,39,Germany,Organic,Mobile,1033.14,19.9,4,5,No
1052,m,49,Ukraine,Advertising,Mobile,1114.61,10.3,6,7,No
1053,f,38,Germany,Social Media,Desktop,561.66,12.4,7,8,No
1054,m,40,Germany,Advertising,Mobile,1182.07,31.4,8,9,No
1055,f,37,Ukraine,Organic,Mobile,602.83,18.8,6,7,No
1056,f,32,Germany,Advertising,Mobile,1332.28,37.9,6,7,No
1057,f,43,Ukraine,Social Media,Mobile,1114.6,21.9,5,7,No
1058,f,48,Poland,Advertising,Mobile,682.7,14.1,7,7,Yes
1059,f,18,Germany,Social Media,Desktop,1126.34,28.5,7,7,Yes
1060,f,46,Ukraine,Advertising,Desktop,633.21,18.5,4,5,No
1061,m,26,Germany,Organic,Desktop,1035.72,48.1,6,4,No
1062,m,35,Germany,Organic,Mobile,1178.79,28.6,8,9,No
1063,f,41,Ukraine,Social Media,Mobile,849.59,2.8,9,10,No
1064,m,47,Ukraine,Advertising,Mobile,787.33,32.6,5,6,No
1065,m,41,Poland,Social Media,Mobile,835.06,9.4,5,6,No
1066,f,52,Germany,Social Media,Desktop,775.94,23.7,7,8,No
1067,f,51,Ukraine,Advertising,Mobile,959.43,10.5,6,5,No
1068,f,40,Germany,Social Media,Mobile,1334.29,29.6,3,7,No
1069,f,22,Poland,Organic,Mobile,734.45,26,9,10,Yes
1070,f,50,Ukraine,Organic,Desktop,970.98,24.3,6,9,Yes
1071,m,21,Ukraine,Organic,Mobile,458.3,22.5,6,5,No
1072,m,39,Germany,Social Media,Mobile,861.49,24.5,8,9,Yes
1073,f,37,Ukraine,Advertising,Mobile,1189.94,34.9,6,9,Yes
1074,f,31,Germany,Advertising,Desktop,987.61,23.7,7,10,No
1075,f,23,Ukraine,Advertising,Mobile,1645.33,43.4,5,6,No
1076,m,40,Ukraine,Advertising,Mobile,1283.34,36,7,8,No
1077,m,39,Germany,Social Media,Mobile,507.82,12.2,6,6,Yes
1078,m,36,Poland,Social Media,Desktop,843.21,28.8,6,6,No
1079,m,32,Ukraine,Organic,Mobile,739.56,13.9,5,4,No
1080,m,59,Ukraine,Advertising,Mobile,855.22,10.4,8,10,Yes
1081,f,41,Poland,Social Media,Desktop,650.19,25.4,7,8,No
