session_id,subscriber_id,date,genre,device,duration_min,rating
51573,1166,2024-04-11,Animation,Mobile,72,1
50017,1429,2024-06-25,Romance,Mobile,53,5
50861,1404,2024-07-05,Action,Smart TV,49,5
54446,1520,2024-07-01,Series,Laptop,66,3
51561,1052,2024-06-13,Action,Laptop,81,5
51938,1078,2024-08-27,Documentary,Mobile,60,4
52050,1343,2024-02-26,Action,Tablet,86,3
54963,1444,2024-08-04,Series,Smart TV,56,4
50908,1521,2024-04-02,Drama,Smart TV,68,4
51976,1555,2024-04-11,Drama,Mobile,84,5
53320,1318,2024-08-16,Drama,Smart TV,64,4
50859,1078,2024-02-25,Comedy,Smart TV,60,5
52494,1321,2024-04-19,Drama,Smart TV,55,4
54327,1149,2024-01-02,Documentary,Laptop,58,5
53590,1178,2024-07-30,Romance,Mobile,17,4
54308,1416,2024-07-27,Romance,Mobile,93,5
53105,1172,2024-06-29,Action,Smart TV,21,3
53486,1199,2024-05-01,Comedy,Smart TV,79,5
50039,1201,2024-08-10,Romance,Laptop,77,4
51353,1417,2024-06-14,Drama,Smart TV,78,4
52560,1170,2024-05-22,Romance,Laptop,81,5
53103,1266,2024-05-30,Horror,Mobile,93,4
51081,1551,2024-07-14,Documentary,Smart TV,69,4
53526,1265,2024-03-05,Animation,Laptop,98,5
50951,1090,2024-01-01,Romance,Laptop,36,4
54085,1340,2024-03-02,Series,Smart TV,104,4
50518,1338,2024-04-11,Comedy,Mobile,53,4
54618,1503,2024-02-10,Series,Mobile,73,5
54171,1504,2024-03-22,Action,Smart TV,38,4
51780,1184,2024-05-23,Documentary,Mobile,26,5
50780,1186,2024-02-12,Series,Smart TV,89,2
54240,1442,2024-03-16,Drama,Laptop,74,4
52340,1005,2024-05-29,Drama,Tablet,52,4
51343,1585,2024-01-15,Documentary,Mobile,92,5
50462,1099,2024-01-28,Action,Laptop,48,4
51160,1304,2024-03-20,Horror,Mobile,155,5
53119,1296,2024-04-04,Series,Laptop,103,5
54338,1592,2024-08-27,Romance,Laptop,13,4
50266,1032,2024-08-22,Horror,Laptop,60,3
54912,1449,2024-02-09,Animation,Smart TV,113,4
53310,1287,2024-08-04,Animation,Laptop,19,3
54531,1550,2024-04-08,Series,Mobile,10,5
54562,1430,2024-02-12,Drama,Laptop,29,4
53413,1188,2024-05-22,Animation,Laptop,86,4
53761,1523,2024-06-19,Series,Laptop,90,5
52941,1534,2024-07-01,Series,Smart TV,30,2
50365,1334,2024-05-06,Comedy,Laptop,27,3
50696,1260,2024-01-28,Series,Mobile,97,3
52976,1464,2024-06-21,Romance,Mobile,5,5
54086,1575,2024-01-03,Romance,Laptop,38,4
50308,1294,2024-04-28,Action,Laptop,37,4
53234,1066,2024-04-28,Horror,Smart TV,58,4
52675,1201,2024-06-02,Animation,Smart TV,79,5
52756,1355,2024-07-31,Series,Laptop,100,5
51537,1036,2024-01-05,Action,Tablet,27,5
