subscriber_id,age,gender,country,plan,monthly_fee,join_date,is_active
1001,19,m,Ukraine,Premium,329,2023-02-27,No
1002,40,f,Poland,Standard,219,2022-03-05,Yes
1003,60,m,Ukraine,Basic,149,2023-02-20,Yes
1004,36,m,Czech Republic,Basic,149,2022-02-22,Yes
1005,34,f,Spain,Standard,219,2023-08-27,Yes
1006,37,f,Poland,Standard,219,2024-11-17,Yes
1007,16,f,Ukraine,Premium,329,2024-07-22,Yes
1008,49,m,Germany,Standard,219,2022-11-06,Yes
1009,47,f,Germany,Basic,149,2023-09-13,No
1010,40,f,Germany,Standard,219,2022-10-03,No
1011,16,m,Spain,Family,449,2023-09-17,Yes
1012,56,m,Ukraine,Standard,219,2024-12-08,Yes
1013,25,m,Spain,Standard,219,2023-01-01,Yes
1014,17,m,Ukraine,Standard,219,2023-07-21,Yes
1015,55,f,Ukraine,Standard,219,2022-02-14,No
1016,20,m,Poland,Premium,329,2022-06-09,No
1017,64,f,Germany,Standard,219,2022-11-21,No
1018,20,m,Czech Republic,Premium,329,2023-11-08,Yes
1019,64,f,Poland,Standard,219,2022-11-25,No
1020,39,f,Ukraine,Family,449,2024-02-21,Yes
1021,43,f,Ukraine,Basic,149,2024-01-12,Yes
1022,35,m,Poland,Premium,329,2022-09-11,No
1023,37,f,Poland,Standard,219,2023-04-19,Yes
1024,48,m,Ukraine,Family,449,2023-07-02,No
1025,28,m,Poland,Premium,329,2022-04-09,Yes
1026,54,m,Ukraine,Standard,219,2024-03-26,No
1027,66,f,Spain,Standard,219,2023-01-09,Yes
1028,37,f,Ukraine,Basic,149,2024-03-20,Yes
1029,37,f,Germany,Basic,149,2022-06-28,Yes
1030,36,f,Ukraine,Premium,329,2023-04-27,No
1031,67,f,Ukraine,Standard,219,2024-05-27,No
1032,39,m,Ukraine,Standard,219,2023-09-27,Yes
1033,40,f,Ukraine,Standard,219,2022-08-19,Yes
1034,31,f,Germany,Standard,219,2023-10-19,Yes
1035,48,f,Germany,Family,449,2023-01-06,Yes
1036,58,m,Poland,Basic,149,2024-01-16,No
1037,36,f,Lithuania,Family,449,2022-10-28,Yes
1038,61,m,Germany,Family,449,2023-12-13,Yes
1039,32,f,Ukraine,Family,449,2023-07-02,Yes
1040,59,m,Ukraine,Basic,149,2024-03-25,Yes
1041,35,f,Poland,Family,449,2022-05-17,Yes
1042,55,f,Poland,Standard,219,2022-09-03,Yes
1043,42,f,Czech Republic,Standard,219,2022-10-14,Yes
1044,49,m,Ukraine,Standard,219,2022-04-08,No
1045,29,m,Ukraine,Family,449,2022-07-21,Yes
1046,18,f,Spain,Basic,149,2023-12-10,No
1047,23,f,Ukraine,Premium,329,2023-04-17,Yes
1048,66,f,Ukraine,Basic,149,2022-09-22,No
1049,51,m,Ukraine,Basic,149,2023-01-10,Yes
1050,24,f,Ukraine,Family,449,2023-09-20,Yes
1051,34,m,Ukraine,Standard,219,2022-02-17,No
1052,53,m,Germany,Premium,329,2024-04-13,Yes
1053,46,m,Ukraine,Family,449,2022-02-11,Yes
1054,30,m,Poland,Family,449,2024-07-02,Yes
1055,45,m,Germany,Basic,149,2022-06-15,No
1056,68,m,Ukraine,Premium,329,2023-11-05,Yes
1057,34,m,Ukraine,Standard,219,2022-01-02,Yes
1058,31,f,Ukraine,Basic,149,2022-10-25,Yes
1059,42,m,Spain,Standard,219,2023-11-05,No
1060,54,f,Ukraine,Standard,219,2022-06-17,Yes
1061,21,m,Ukraine,Basic,149,2023-08-28,Yes
1062,41,f,Germany,Basic,149,2022-12-12,Yes
1063,34,m,Germany,Standard,219,2024-03-13,Yes
1064,64,m,Spain,Premium,329,2022-04-12,Yes
1065,61,f,Germany,Standard,219,2022-06-02,No
1066,24,m,Ukraine,Basic,149,2023-09-26,Yes
1067,58,f,Poland,Family,449,2023-05-26,No
1068,44,f,Spain,Basic,149,2022-10-04,No
1069,69,m,Ukraine,Family,449,2023-11-06,No
1070,40,m,Ukraine,Basic,149,2022-07-05,No
1071,27,m,Poland,Standard,219,2023-05-03,No
1072,66,m,Germany,Standard,219,2022-11-22,Yes
1073,35,f,Ukraine,Standard,219,2024-06-01,Yes
1074,34,m,Spain,Basic,149,2022-08-02,Yes
